Source page: http://www.caroftheyear.org/voting-grid/2006_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,renaultclio_number,volkswagen_number,alfaromeo159_number,bmwseries_number,mazda_number,citronc1_number,toyotayaris_number
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=64","Manuel Domenech","Manuel  Domenech","","Manuel Domenech","5","3","6","3","2","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=66","Pedro Figueruelo","Pedro  Figueruelo","","Pedro Figueruelo","6","4","4","1","2","5","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=62","Alberto Mallo","Alberto  Mallo","","Alberto Mallo","3","3","8","0","2","5","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=67","Sergio Piccione","Sergio  Piccione","","Sergio Piccione","6","1","5","1","3","7","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=65","María Ángeles Pujol","María Ángeles  Pujol","","María Ángeles Pujol","6","2","4","1","5","3","4"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=82","Dag Hogsten","Dag Hogsten","Sweden","Dag Hogsten","5","10","1","2","3","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=69","Lasse Holmström","Lasse  Holmström","","Lasse Holmström","10","6","0","4","2","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=70","Marianne Sterner","Marianne  Sterner","","Marianne Sterner","4","6","0","2","3","10","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=80","Michel Busset","Michel Busset","Switzerland","Michel Busset","4","1","5","6","2","4","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=72","Urs Bärtschi","Urs  Bärtschi","","Urs Bärtschi","4","5","0","7","3","6","0"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","Ufuk Sandik","3","8","6","1","0","4","3"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=39","Steve Cropley","Steve  Cropley","United Kingdom","Steve Cropley","3","1","2","4","1","6","8"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=34","Andrew English","Andrew  English","","Andrew English","2","1","3","10","0","4","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=38","Ray Hutton","Ray  Hutton","","Ray Hutton","4","6","4","8","1","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=35","John Simister","John  Simister","","John Simister","4","3","1","6","1","2","8"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2006&idjuez=74","David Williams","David Williams","","David Williams","6","1","1","8","2","3","4"
