Source page: http://www.caroftheyear.org/voting-grid/2015_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,volkswagen_number,citronc4_number,mercedesbenz_number,fordmondeo_number,nissan_number,bmwseries_number,renault_number
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=50","Diego Eramo","Diego  Eramo","","Diego Eramo","6","5","4","5","4","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","Alessandro Ferrari","7","6","2","3","2","5","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","Massimo Nascimbene","7","3","1","5","5","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=108","Alberto Sabbatini","Alberto  Sabbatini","","Alberto Sabbatini","7","5","2","2","2","5","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=51","Giorgio Ursicino","Giorgio  Ursicino","","Giorgio Ursicino","6","4","2","5","3","2","3"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=111","Jaco Bijlsma","Jaco Bijlsma","Netherlands","Jaco Bijlsma","2","8","2","2","2","2","7"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=43","Ton Roks","Ton  Roks","","Ton Roks","7","4","3","1","2","2","6"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=113","Gert Wisse","Gert Wisse","","Gert Wisse","6","4","3","5","4","2","1"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","Rune Korsvoll","7","4","4","3","3","3","1"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","Wojciech Sierpowski","7","4","2","6","2","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=54","Maciek Ziemek","Maciek Ziemek","","Maciek Ziemek","7","6","3","4","4","1","0"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=93","Francisco Mota","Francisco Mota","Portugal","Francisco Mota","5","1","7","2","4","4","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","","Joaquim Oliveira","6","1","7","1","5","4","1"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=60","Vadim Ovsiankin","Vadim  Ovsiankin","Russia","Vadim Ovsiankin","7","2","4","3","5","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","","Mikhail I. Podorozhansky","5","2","5","6","3","4","0"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=117","Sebastjan Plevnjak","Sebastjan  Plevnjak","Slovenia","Sebastjan Plevnjak","8","3","2","7","1","1","3"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=110","Félix Cerezo","Félix Cerezo","Spain","Félix Cerezo","7","4","3","5","1","1","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=102","Rafael Guitart","Rafael Guitart","","Rafael Guitart","8","2","2","7","4","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=62","Alberto Mallo","Alberto  Mallo","","Alberto Mallo","3","9","3","3","4","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=95","Juan Carlos Payo","Juan Carlos Payo","","Juan Carlos Payo","8","4","3","5","3","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=98","Xavier Pérez","Xavier  Pérez","","Xavier Pérez","8","5","1","4","4","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=112","Pere Prat","Pere  Prat","","Pere Prat","5","5","1","4","6","3","1"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=118","Jan-Erik Berggren","Jan-Erik  Berggren","Sweden","Jan-Erik Berggren","10","5","3","1","0","6","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=68","Hakan Matson","Hakan  Matson","","Hakan Matson","5","2","8","4","2","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=103","Tommy Wahlström","Tommy Wahlström","","Tommy Wahlström","9","0","3","7","5","1","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=72","Urs Bärtschi","Urs  Bärtschi","Switzerland","Urs Bärtschi","7","3","3","5","3","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=71","Peter Ruch","Peter  Ruch","","Peter Ruch","4","9","4","3","2","0","3"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","Ufuk Sandik","7","6","3","5","1","2","1"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=34","Andrew English","Andrew  English","United Kingdom","Andrew English","4","6","5","3","2","5","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=94","Andrew Frankel","Andrew Frankel","","Andrew Frankel","3","5","4","3","2","6","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=36","Paul Horrell","Paul  Horrell","","Paul Horrell","3","5","4","3","4","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=37","Phil McNamara","Phil  McNamara","","Phil McNamara","4","6","5","4","2","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=119","Matthew Prior","Matthew Prior","","Matthew Prior","8","5","1","1","3","3","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2015&idjuez=35","John Simister","John  Simister","","John Simister","1","10","0","0","3","5","6"
