Source page: http://www.caroftheyear.org/voting-grid/2007_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,fordsmax_number,opelvauxhall_number,citronc4_number,skoda_number,hondacivic_number,peugeot207_number,volvoc30_number,fiatgrande_number
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=48","Carlo Cavicchi","Carlo  Cavicchi","","2","5","2","0","6","5","0","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=50","Diego Eramo","Diego  Eramo","","5","4","6","1","0","5","0","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","2","3","0","2","6","4","4","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","5","4","1","0","7","3","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=76","Claudio Nobis","Claudio Nobis","","6","7","0","0","4","5","3","0"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=41","Jeroen Jongeneel","Jeroen  Jongeneel","Netherlands","7","0","4","4","0","0","6","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=43","Ton Roks","Ton  Roks","","4","0","6","6","0","0","8","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=42","Jos Vroomans","Jos  Vroomans","","4","2","7","4","0","0","6","2"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","1","4","6","9","3","0","2","0"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","1","7","1","4","2","2","4","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=54","Maciek Ziemek","Maciek Ziemek","","6","4","5","2","1","3","1","3"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","Portugal","7","4","1","0","3","6","0","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=57","José Vieira","José  Vieira","","4","6","4","0","0","7","0","4"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=60","Vadim Ovsiankin","Vadim  Ovsiankin","Russia","7","5","2","1","2","3","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","","3","5","3","1","3","4","2","4"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=61","Tomaz Porekar","Tomaz  Porekar","Slovenia","5","6","1","1","4","4","0","4"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=63","Eduardo","Eduardo","Spain","4","3","6","3","2","3","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=64","Manuel Domenech","Manuel  Domenech","","2","3","5","2","3","4","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=66","Pedro Figueruelo","Pedro  Figueruelo","","4","2","7","0","5","2","0","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=62","Alberto Mallo","Alberto  Mallo","","2","4","5","1","2","7","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=67","Sergio Piccione","Sergio  Piccione","","2","4","7","1","1","3","3","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=65","María Ángeles Pujol","María Ángeles  Pujol","","2","5","4","1","3","7","2","1"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=69","Lasse Holmström","Lasse  Holmström","Sweden","1","6","2","4","8","1","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=68","Hakan Matson","Hakan  Matson","","0","3","10","6","4","0","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=70","Marianne Sterner","Marianne  Sterner","","1","5","3","8","6","0","2","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=80","Michel Busset","Michel Busset","Switzerland","5","2","6","4","3","2","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=72","Urs Bärtschi","Urs  Bärtschi","","6","8","0","5","0","0","2","4"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","2","8","0","4","3","1","6","1"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=39","Steve Cropley","Steve  Cropley","United Kingdom","4","8","4","3","2","1","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=34","Andrew English","Andrew  English","","4","3","0","1","7","0","10","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=36","Paul Horrell","Paul  Horrell","","4","3","4","4","8","0","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=38","Ray Hutton","Ray  Hutton","","7","8","2","0","5","0","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=35","John Simister","John  Simister","","7","1","4","5","3","1","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2007&idjuez=74","David Williams","David Williams","","8","4","3","3","3","2","1","1"
