Source page: http://www.caroftheyear.org/voting-grid/2008_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,fiat500_number,mazda_number,fordmodeo_number,kiaceed_number,nissan_number,mercedesbenz_number,peugeot308_number
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=32","Thomas Imhof","Thomas  Imhof","Germany","Thomas Imhof","10","6","1","3","2","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=28","Frank Janssen","Frank  Janssen","","Frank Janssen","2","4","9","0","3","6","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=29","Georg Kacher","Georg  Kacher","","Georg Kacher","10","7","1","1","1","4","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","Jürgen Lewandowski","2","9","4","3","0","6","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=33","Wolfgang Peters","Wolfgang  Peters","","Wolfgang Peters","2","10","0","3","4","6","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=30","Jörg Reichle","Jörg  Reichle","","Jörg Reichle","10","7","1","2","0","5","0"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","Efstratios Chatzipanagiotou","8","6","4","3","1","2","1"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=44","Miklos Gajdan","Miklos  Gajdan","Hungary","Miklos Gajdan","5","6","2","8","2","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=45","Péter Surányi","Péter  Surányi","","Péter Surányi","2","3","2","8","6","1","3"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=46","Michael McAleer","Michael  McAleer","Ireland","Michael McAleer","6","6","8","3","0","2","0"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=49","Daniele","Daniele","Italy","Daniele","6","5","4","3","4","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=48","Carlo Cavicchi","Carlo  Cavicchi","","Carlo Cavicchi","5","4","3","4","4","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=50","Diego Eramo","Diego  Eramo","","Diego Eramo","8","4","0","7","3","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","Alessandro Ferrari","8","4","1","4","5","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","Massimo Nascimbene","8","5","2","2","6","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=51","Giorgio Ursicino","Giorgio  Ursicino","","Giorgio Ursicino","7","4","4","3","3","1","3"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=41","Jeroen Jongeneel","Jeroen  Jongeneel","Netherlands","Jeroen Jongeneel","5","6","3","0","4","7","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=43","Ton Roks","Ton  Roks","","Ton Roks","8","3","2","4","2","5","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=42","Jos Vroomans","Jos  Vroomans","","Jos Vroomans","7","6","3","1","5","2","1"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","Rune Korsvoll","4","7","4","3","4","1","2"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","Wojciech Sierpowski","7","5","5","4","2","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=54","Maciek Ziemek","Maciek Ziemek","","Maciek Ziemek","4","3","10","3","3","1","1"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","Portugal","Joaquim Oliveira","4","2","0","7","3","6","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=57","José Vieira","José  Vieira","","José Vieira","0","7","6","6","4","0","2"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=60","Vadim Ovsiankin","Vadim  Ovsiankin","Russia","Vadim Ovsiankin","8","2","2","1","3","4","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","","Mikhail I. Podorozhansky","6","5","5","1","2","2","4"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=61","Tomaz Porekar","Tomaz  Porekar","Slovenia","Tomaz Porekar","6","5","4","3","3","2","2"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=63","Eduardo","Eduardo","Spain","Eduardo","4","8","4","2","2","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=64","Manuel Domenech","Manuel  Domenech","","Manuel Domenech","7","4","3","3","5","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=66","Pedro Figueruelo","Pedro  Figueruelo","","Pedro Figueruelo","7","4","5","3","2","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=62","Alberto Mallo","Alberto  Mallo","","Alberto Mallo","8","3","2","3","2","2","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=67","Sergio Piccione","Sergio  Piccione","","Sergio Piccione","6","7","3","3","4","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=65","María Ángeles Pujol","María Ángeles  Pujol","","María Ángeles Pujol","4","4","7","5","2","1","2"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=69","Lasse Holmström","Lasse  Holmström","Sweden","Lasse Holmström","2","10","5","7","0","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=68","Hakan Matson","Hakan  Matson","","Hakan Matson","10","7","2","3","0","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=70","Marianne Sterner","Marianne  Sterner","","Marianne Sterner","10","4","0","6","3","2","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=72","Urs Bärtschi","Urs  Bärtschi","Switzerland","Urs Bärtschi","7","8","4","3","3","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=71","Peter Ruch","Peter  Ruch","","Peter Ruch","7","8","5","0","0","3","2"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","Ufuk Sandik","9","7","3","2","0","0","4"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=39","Steve Cropley","Steve  Cropley","United Kingdom","Steve Cropley","9","4","6","0","0","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=34","Andrew English","Andrew  English","","Andrew English","10","1","8","0","0","2","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=36","Paul Horrell","Paul  Horrell","","Paul Horrell","8","5","5","1","1","5","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=38","Ray Hutton","Ray  Hutton","","Ray Hutton","5","7","5","2","0","4","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=35","John Simister","John  Simister","","John Simister","9","5","4","4","1","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2008&idjuez=74","David Williams","David Williams","","David Williams","5","3","7","2","1","3","4"
