Source page: http://www.caroftheyear.org/voting-grid/2009_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,opelvauxhall_number,fordfiesta_number,volkswagen_number,citronc5_number,alfaromeo_number,skodasuperb_number,renaultmgane_number
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=33","Wolfgang Peters","Wolfgang  Peters","","Wolfgang Peters","7","8","0","2","3","0","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=30","Jörg Reichle","Jörg  Reichle","","Jörg Reichle","4","2","8","7","1","0","3"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","Efstratios Chatzipanagiotou","4","7","5","2","3","3","1"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=44","Miklos Gajdan","Miklos  Gajdan","Hungary","Miklos Gajdan","9","7","2","0","0","4","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=45","Péter Surányi","Péter  Surányi","","Péter Surányi","3","3","6","8","2","2","1"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=46","Michael McAleer","Michael  McAleer","Ireland","Michael McAleer","6","8","2","3","0","5","1"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=49","Daniele","Daniele","Italy","Daniele","4","5","4","3","3","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=48","Carlo Cavicchi","Carlo  Cavicchi","","Carlo Cavicchi","4","7","6","1","3","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=50","Diego Eramo","Diego  Eramo","","Diego Eramo","4","7","8","1","3","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","Alessandro Ferrari","2","8","7","1","3","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","Massimo Nascimbene","3","7","6","2","3","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=51","Giorgio Ursicino","Giorgio  Ursicino","","Giorgio Ursicino","3","7","5","2","4","1","3"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=41","Jeroen Jongeneel","Jeroen  Jongeneel","Netherlands","Jeroen Jongeneel","7","6","4","5","0","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=43","Ton Roks","Ton  Roks","","Ton Roks","6","5","2","7","1","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=42","Jos Vroomans","Jos  Vroomans","","Jos Vroomans","7","4","2","5","3","2","2"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","Rune Korsvoll","6","9","1","3","1","3","2"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","Wojciech Sierpowski","9","4","1","4","3","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=54","Maciek Ziemek","Maciek Ziemek","","Maciek Ziemek","4","4","4","5","2","4","2"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","Portugal","Joaquim Oliveira","6","3","7","5","1","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=57","José Vieira","José  Vieira","","José Vieira","5","6","5","7","0","0","2"
"http://www.caroftheyear.org/imagenes/bandera/362.png","Romania","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=58","Dan Vardie","Dan  Vardie","Romania","Dan Vardie","7","8","1","0","1","3","5"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=60","Vadim Ovsiankin","Vadim  Ovsiankin","Russia","Vadim Ovsiankin","3","4","2","3","4","6","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","","Mikhail I. Podorozhansky","3","5","3","4","2","6","2"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=61","Tomaz Porekar","Tomaz  Porekar","Slovenia","Tomaz Porekar","3","5","4","3","4","3","3"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=63","Eduardo","Eduardo","Spain","Eduardo","8","5","2","3","2","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=64","Manuel Domenech","Manuel  Domenech","","Manuel Domenech","7","3","1","5","5","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=66","Pedro Figueruelo","Pedro  Figueruelo","","Pedro Figueruelo","7","2","1","5","5","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=62","Alberto Mallo","Alberto  Mallo","","Alberto Mallo","8","4","2","3","2","1","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=67","Sergio Piccione","Sergio  Piccione","","Sergio Piccione","8","3","3","6","2","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=65","María Ángeles Pujol","María Ángeles  Pujol","","María Ángeles Pujol","6","4","4","4","3","1","3"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=69","Lasse Holmström","Lasse  Holmström","Sweden","Lasse Holmström","2","4","0","6","10","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=68","Hakan Matson","Hakan  Matson","","Hakan Matson","10","5","0","2","7","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=70","Marianne Sterner","Marianne  Sterner","","Marianne Sterner","2","10","0","1","5","7","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=72","Urs Bärtschi","Urs  Bärtschi","Switzerland","Urs Bärtschi","8","6","6","0","0","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=71","Peter Ruch","Peter  Ruch","","Peter Ruch","5","5","5","6","0","4","0"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","Ufuk Sandik","3","7","8","2","1","0","4"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=39","Steve Cropley","Steve  Cropley","United Kingdom","Steve Cropley","4","10","3","0","3","5","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=34","Andrew English","Andrew  English","","Andrew English","3","6","10","2","0","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=36","Paul Horrell","Paul  Horrell","","Paul Horrell","4","7","5","1","3","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=38","Ray Hutton","Ray  Hutton","","Ray Hutton","4","8","6","1","0","4","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=37","Phil McNamara","Phil  McNamara","","Phil McNamara","4","7","6","1","3","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2009&idjuez=35","John Simister","John  Simister","","John Simister","3","10","0","2","4","6","0"
