Source page: http://www.caroftheyear.org/voting-grid/2010_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,volkswagen_number,toyotaiq_number,opelvauxhall_number,skodayeti_number,mercedesbenz_number,peugeot3008_number,citronc3_number
"http://www.caroftheyear.org/imagenes/bandera/284.png","Germany","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=32","Thomas Imhof","Thomas  Imhof","Germany","Thomas Imhof","8","5","3","4","3","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=28","Frank Janssen","Frank  Janssen","","Frank Janssen","9","7","2","1","4","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=29","Georg Kacher","Georg  Kacher","","Georg Kacher","6","1","5","5","5","0","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=31","Jürgen Lewandowski","Jürgen  Lewandowski","","Jürgen Lewandowski","7","5","4","2","6","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=33","Wolfgang Peters","Wolfgang  Peters","","Wolfgang Peters","10","0","3","4","6","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=30","Jörg Reichle","Jörg  Reichle","","Jörg Reichle","7","1","5","8","4","0","0"
"http://www.caroftheyear.org/imagenes/bandera/286.png","Greece","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=40","Efstratios Chatzipanagiotou","Efstratios Chatzipanagiotou","Greece","Efstratios Chatzipanagiotou","8","6","3","4","2","1","1"
"http://www.caroftheyear.org/imagenes/bandera/293.png","Hungary","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=44","Miklos Gajdan","Miklos  Gajdan","Hungary","Miklos Gajdan","6","8","3","1","4","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=45","Péter Surányi","Péter  Surányi","","Péter Surányi","1","4","8","1","3","3","5"
"http://www.caroftheyear.org/imagenes/bandera/299.png","Ireland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=46","Michael McAleer","Michael  McAleer","Ireland","Michael McAleer","7","8","1","1","5","3","0"
"http://www.caroftheyear.org/imagenes/bandera/301.png","Italy","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=49","Daniele","Daniele","Italy","Daniele","5","7","4","2","2","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=48","Carlo Cavicchi","Carlo  Cavicchi","","Carlo Cavicchi","6","5","4","2","2","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=50","Diego Eramo","Diego  Eramo","","Diego Eramo","7","3","2","2","4","5","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=47","Alessandro Ferrari","Alessandro  Ferrari","","Alessandro Ferrari","8","4","6","2","0","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=52","Massimo Nascimbene","Massimo  Nascimbene","","Massimo Nascimbene","7","4","5","3","1","4","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=51","Giorgio Ursicino","Giorgio  Ursicino","","Giorgio Ursicino","6","5","5","0","3","3","3"
"http://www.caroftheyear.org/imagenes/bandera/339.png","Netherlands","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=41","Jeroen Jongeneel","Jeroen  Jongeneel","Netherlands","Jeroen Jongeneel","6","5","7","4","3","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=43","Ton Roks","Ton  Roks","","Ton Roks","5","3","6","2","5","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=42","Jos Vroomans","Jos  Vroomans","","Jos Vroomans","2","5","8","3","5","0","2"
"http://www.caroftheyear.org/imagenes/bandera/347.png","Norway","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=53","Rune Korsvoll","Rune  Korsvoll","Norway","Rune Korsvoll","10","6","4","1","0","2","2"
"http://www.caroftheyear.org/imagenes/bandera/359.png","Poland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=55","Wojciech Sierpowski","Wojciech  Sierpowski","Poland","Wojciech Sierpowski","5","5","8","1","1","1","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=54","Maciek Ziemek","Maciek Ziemek","","Maciek Ziemek","5","4","3","3","3","3","4"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=93","Francisco Mota","Francisco Mota","Portugal","Francisco Mota","7","2","3","2","1","5","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","","Joaquim Oliveira","8","2","3","1","6","4","1"
"http://www.caroftheyear.org/imagenes/bandera/362.png","Romania","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=58","Dan Vardie","Dan  Vardie","Romania","Dan Vardie","7","6","5","1","2","3","1"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=60","Vadim Ovsiankin","Vadim  Ovsiankin","Russia","Vadim Ovsiankin","5","6","4","2","3","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","","Mikhail I. Podorozhansky","3","5","3","4","6","2","2"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=61","Tomaz Porekar","Tomaz  Porekar","Slovenia","Tomaz Porekar","7","5","6","4","1","1","1"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=63","Eduardo","Eduardo","Spain","Eduardo","6","8","4","0","0","3","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=64","Manuel Domenech","Manuel  Domenech","","Manuel Domenech","7","5","5","1","2","2","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=66","Pedro Figueruelo","Pedro  Figueruelo","","Pedro Figueruelo","6","5","4","2","1","2","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=62","Alberto Mallo","Alberto  Mallo","","Alberto Mallo","6","8","4","1","1","3","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=67","Sergio Piccione","Sergio  Piccione","","Sergio Piccione","6","7","5","1","2","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=65","María Ángeles Pujol","María Ángeles  Pujol","","María Ángeles Pujol","2","9","4","3","2","3","2"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=69","Lasse Holmström","Lasse  Holmström","Sweden","Lasse Holmström","3","10","4","5","2","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=68","Hakan Matson","Hakan  Matson","","Hakan Matson","6","10","2","3","0","4","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=70","Marianne Sterner","Marianne  Sterner","","Marianne Sterner","6","10","1","5","1","1","1"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=72","Urs Bärtschi","Urs  Bärtschi","Switzerland","Urs Bärtschi","8","6","6","3","0","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=71","Peter Ruch","Peter  Ruch","","Peter Ruch","9","7","0","3","0","2","4"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","Ufuk Sandik","5","7","5","3","0","4","1"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=39","Steve Cropley","Steve  Cropley","United Kingdom","Steve Cropley","2","8","2","2","5","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=34","Andrew English","Andrew  English","","Andrew English","10","4","2","3","6","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=94","Andrew Frankel","Andrew Frankel","","Andrew Frankel","4","7","0","6","5","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=36","Paul Horrell","Paul  Horrell","","Paul Horrell","4","4","1","6","5","1","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=37","Phil McNamara","Phil  McNamara","","Phil McNamara","5","4","2","6","4","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2010&idjuez=35","John Simister","John  Simister","","John Simister","1","9","0","10","3","0","2"
