Source page: http://www.caroftheyear.org/voting-grid/2012_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,opelampera_number,volkswagenup_number,fordfocus_number,rangerover_number,fiatpanda_number,citronds5_number,toyotayaris_number
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=54","Maciek Ziemek","Maciek Ziemek","","Maciek Ziemek","6","3","5","1","3","2","5"
"http://www.caroftheyear.org/imagenes/bandera/360.png","Portugal","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=93","Francisco Mota","Francisco Mota","Portugal","Francisco Mota","3","3","9","2","5","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=56","Joaquim Oliveira","Joaquim  Oliveira","","Joaquim Oliveira","4","9","6","0","0","4","2"
"http://www.caroftheyear.org/imagenes/bandera/362.png","Romania","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=58","Dan Vardie","Dan  Vardie","Romania","Dan Vardie","4","2","5","6","2","3","3"
"http://www.caroftheyear.org/imagenes/bandera/363.png","Russia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=60","Vadim Ovsiankin","Vadim  Ovsiankin","Russia","Vadim Ovsiankin","4","3","5","3","3","3","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=59","Mikhail I. Podorozhansky","Mikhail I.  Podorozhansky","","Mikhail I. Podorozhansky","4","2","4","5","2","6","2"
"http://www.caroftheyear.org/imagenes/bandera/374.png","Slovenia","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=61","Tomaz Porekar","Tomaz  Porekar","Slovenia","Tomaz Porekar","4","4","5","3","3","3","3"
"http://www.caroftheyear.org/imagenes/bandera/378.png","Spain","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=64","Manuel Domenech","Manuel  Domenech","Spain","Manuel Domenech","2","5","6","4","4","2","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=66","Pedro Figueruelo","Pedro  Figueruelo","","Pedro Figueruelo","3","6","5","1","2","5","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=62","Alberto Mallo","Alberto  Mallo","","Alberto Mallo","8","2","6","1","1","4","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=95","Juan Carlos Payo","Juan Carlos Payo","","Juan Carlos Payo","3","4","5","4","3","3","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=98","Xavier Pérez","Xavier  Pérez","","Xavier Pérez","2","4","4","6","3","4","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=67","Sergio Piccione","Sergio  Piccione","","Sergio Piccione","6","5","5","5","1","2","1"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=69","Lasse Holmström","Lasse  Holmström","Sweden","Lasse Holmström","8","10","2","0","3","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=68","Hakan Matson","Hakan  Matson","","Hakan Matson","4","4","8","5","1","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=70","Marianne Sterner","Marianne  Sterner","","Marianne Sterner","9","7","5","0","1","0","3"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=72","Urs Bärtschi","Urs  Bärtschi","Switzerland","Urs Bärtschi","8","6","4","4","0","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=71","Peter Ruch","Peter  Ruch","","Peter Ruch","7","4","3","1","4","5","1"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","Ufuk Sandik","0","7","5","3","2","6","2"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=39","Steve Cropley","Steve  Cropley","United Kingdom","Steve Cropley","8","5","4","4","4","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=34","Andrew English","Andrew  English","","Andrew English","10","6","4","3","2","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=94","Andrew Frankel","Andrew Frankel","","Andrew Frankel","6","7","4","5","2","0","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=36","Paul Horrell","Paul  Horrell","","Paul Horrell","7","6","3","4","2","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=37","Phil McNamara","Phil  McNamara","","Phil McNamara","6","5","4","5","4","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2012&idjuez=35","John Simister","John  Simister","","John Simister","10","6","3","5","1","0","0"
