Source page: http://www.caroftheyear.org/voting-grid/2014_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,peugeot308_number,bmwi3_number,teslas_number,citronc4_number,mazda_number,skodaoctavia_number,mercedesbenz_number
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=69","Lasse Holmström","Lasse  Holmström","Sweden","Lasse Holmström","6","1","8","2","4","3","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=68","Hakan Matson","Hakan  Matson","","Hakan Matson","4","1","9","6","3","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=103","Tommy Wahlström","Tommy Wahlström","","Tommy Wahlström","3","1","4","0","2","6","9"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=72","Urs Bärtschi","Urs  Bärtschi","Switzerland","Urs Bärtschi","7","5","4","1","5","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=71","Peter Ruch","Peter  Ruch","","Peter Ruch","7","4","4","4","3","3","0"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","Ufuk Sandik","4","7","2","3","6","2","1"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=39","Steve Cropley","Steve  Cropley","United Kingdom","Steve Cropley","2","9","5","2","3","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=34","Andrew English","Andrew  English","","Andrew English","1","5","4","2","5","0","8"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=94","Andrew Frankel","Andrew Frankel","","Andrew Frankel","1","7","3","3","5","0","6"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=36","Paul Horrell","Paul  Horrell","","Paul Horrell","2","6","4","4","3","1","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=37","Phil McNamara","Phil  McNamara","","Phil McNamara","5","6","4","2","4","0","4"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2014&idjuez=35","John Simister","John  Simister","","John Simister","4","10","7","1","0","0","3"
