Source page: http://www.caroftheyear.org/voting-grid/2011_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,name_content,nissanleaf_number,alfaromeo_number,opelvauxhall_number,fordcmax_number,citronc3ds3_number,volvos60_number,daciaduster_number
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=67","Sergio Piccione","Sergio  Piccione","","Sergio Piccione","0","4","4","4","3","3","7"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=65","María Ángeles Pujol","María Ángeles  Pujol","","María Ángeles Pujol","0","6","3","5","5","3","3"
"http://www.caroftheyear.org/imagenes/bandera/381.png","Sweden","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=69","Lasse Holmström","Lasse  Holmström","Sweden","Lasse Holmström","9","3","5","1","0","7","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=68","Hakan Matson","Hakan  Matson","","Hakan Matson","6","3","10","1","2","3","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=70","Marianne Sterner","Marianne  Sterner","","Marianne Sterner","7","1","10","0","4","3","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=72","Urs Bärtschi","Urs  Bärtschi","Switzerland","Urs Bärtschi","7","3","5","4","2","1","3"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=71","Peter Ruch","Peter  Ruch","","Peter Ruch","5","5","2","1","7","5","0"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","Ufuk Sandik","8","6","3","1","2","5","0"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=39","Steve Cropley","Steve  Cropley","United Kingdom","Steve Cropley","7","4","2","2","3","2","5"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=34","Andrew English","Andrew  English","","Andrew English","8","3","5","5","2","2","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=94","Andrew Frankel","Andrew Frankel","","Andrew Frankel","8","6","3","4","2","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=36","Paul Horrell","Paul  Horrell","","Paul Horrell","9","5","3","3","4","0","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=37","Phil McNamara","Phil  McNamara","","Phil McNamara","8","5","3","5","2","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2011&idjuez=35","John Simister","John  Simister","","John Simister","4","4","2","8","6","0","1"
